timestamp,gender_code,pronoun_code,age,ethnicity,pronouns,gender,sexuality,major,year,nonbinary,trans,cis,congruence,inclusive_behavior,comfort_general,comfort_reed,comfort_class,desire_general,desire_reed,desire_class,comfort_withsimilargenders,comfort_someoneelsefirst,comfort_proffirst,attention_general,attention_reed,attention_class,gender_perception_consistent,gender_pronouns_consistent,pronouns_represent,willmisgender_ifnopronouns,assume_pronouns_correctly,understand_better,profs_share,students_share,reed_support,misgendering_freq,misgendering_stigma,woman,man,non-binary,cisgender,transgender,questioning_gender,masculine,agender,genderfluid,queer_gender,lesbian_gender,feminine,demi,gnc,bigender,she,he,they,all,questioning_pronouns,bisexual,straight,pansexual,queer,questioning_sexuality,gay,lesbian,asexual,aspec,demisexual,polyamorous,enbian
2020-02-28T17:00:45Z,non-binary,he/him,21,White,he/him,cisgender,gay,computer science,Fourth Year,0,0,1,50,41,5,5,5,5,5,5,3,1,1,2,2,2,5,5,5,2,5,1,1,3,5,2,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2020-02-28T17:13:16Z,woman,she/her,19,White,she/her,woman,straight,political science,Second Year,0,0,1,45,57,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,2,5,2,4,3,5,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2020-02-28T17:16:26Z,non-binary,she/her,21,White,she/her,"non-binary,woman",bisexual,anthropology,Fourth Year,1,0,0,30,55,2,4,1,1,4,4,4,5,4,5,1,4,2,3,3,5,2,3,2,3,1,4,3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2020-02-28T17:22:32Z,woman,she/her,21,White,she/her,woman,straight,anthropology,Third Year,0,0,1,51,30,5,5,5,5,5,5,1,3,4,2,2,2,5,5,5,2,5,3,1,4,5,1,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2020-02-28T17:23:04Z,non-binary,he/him & they/them,21,Asian,"they/them,he/him","non-binary,transgender,masculine",bisexual,neuroscience,Fourth Year,1,1,0,31,62,5,5,5,4,5,5,5,3,3,4,3,3,1,5,5,4,1,5,2,3,1,3,4,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2020-02-28T17:35:54Z,woman,she/her,21,White,she/her,woman,straight,psychology,Third Year,0,0,1,50,35,5,5,5,3,4,5,1,5,4,1,1,1,5,5,5,2,1,1,5,4,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2020-02-28T17:42:39Z,man,he/him & they/them,21,White,"they/them,he/him",man,bisexual,NA,Third Year,0,0,0,46,55,4,5,5,5,5,5,5,4,5,4,2,2,1,4,4,1,5,4,1,3,3,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2020-02-28T17:44:05Z,non-binary,they/them,22,White,they/them,"gnc,non-binary,transgender,lesbian_gender,genderfluid",queer,NA,Fourth Year,1,1,0,38,54,4,4,5,5,5,5,5,5,4,4,3,4,2,5,5,5,2,4,3,3,1,4,4,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2020-02-28T17:49:09Z,woman,she/her,21,White,she/her,woman,bisexual,NA,Fourth Year,0,0,1,47,56,5,5,5,3,4,4,4,5,5,1,1,5,5,5,3,1,5,3,4,4,3,2,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2020-02-28T17:50:19Z,non-binary,other/multiple,22,White,"she/her,they/them,he/him","non-binary,transgender",bisexual,linguistics,Third Year,1,1,0,30,51,5,5,4,3,4,5,5,4,5,4,1,3,2,3,2,4,2,3,1,3,3,3,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2020-02-28T18:04:24Z,woman,she/her,22,White,she/her,woman,bisexual,biology,Fourth Year,0,0,1,42,45,5,5,5,4,4,4,3,5,5,1,1,1,5,5,5,2,5,3,1,3,3,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2020-02-28T18:04:56Z,non-binary,she/her,20,White,she/her,"non-binary,woman",bisexual,studio art,Third Year,0,0,1,43,44,5,5,5,5,5,5,1,5,5,4,4,1,5,1,3,2,5,3,1,1,3,1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
